labels,number_of_dead,number_of_crashes,center_lat,center_lng
1,3,3,55.70156933333333,37.62130033333333
6,2,2,55.619267,37.7561315
8,2,2,55.8898465,37.586830500000005
137,2,2,55.843467000000004,37.667039
10,3,2,55.2524875,37.078460500000006
140,2,2,55.8793285,37.436669499999994
16,3,3,55.728622666666666,37.47429
19,3,2,55.781107500000005,37.728134499999996
148,4,2,55.6031445,37.501563
21,2,2,55.8685515,37.6641205
150,3,2,55.843449,37.487636499999994
152,2,2,55.9050145,37.5876455
28,2,2,55.5822045,37.7048905
29,3,3,55.609109333333336,37.354506
30,2,2,55.7346195,37.224683999999996
33,2,2,55.772904,37.8242645
163,3,2,55.794026,37.689274499999996
36,3,3,55.656577,37.59048666666667
38,4,4,55.614347,37.48950075
41,2,2,55.8801885,37.722845
42,3,3,55.75544566666667,37.63462533333333
173,3,3,55.72824966666667,37.84003966666667
46,2,2,55.764467499999995,37.7455425
45,2,2,55.816492,37.499894499999996
174,2,2,55.7273095,37.5448485
47,2,2,55.657897500000004,37.736948
52,2,2,55.6602065,37.8371825
54,2,2,55.5882985,37.6024835
60,4,3,55.64983566666667,37.388398333333335
63,2,2,55.547165500000006,37.545491999999996
64,2,2,55.90914,37.533347000000006
65,2,2,55.700777,37.7959355
73,2,2,55.81349899999999,37.8118675
201,2,2,55.610766,37.769569000000004
202,2,2,55.5790515,37.5945975
78,2,2,55.665526,37.429921
79,2,2,55.8076935,37.6373685
81,3,3,55.73412166666667,37.49416733333334
209,2,2,55.7683775,37.59873399999999
84,2,2,55.702288499999995,37.4989615
215,2,2,55.864273499999996,37.464076500000004
87,2,2,55.7475715,37.766857
217,2,2,55.4279995,37.394349500000004
90,2,2,55.722977,37.43448600000001
92,4,2,55.616555000000005,37.78018
224,2,2,55.6078115,37.4946265
97,2,2,55.888245999999995,37.486847999999995
103,2,2,55.5028145,37.3358775
104,2,2,55.691559,37.4264235
108,2,2,55.8927255,37.660634
109,3,3,55.803856,37.533062666666666
112,2,2,55.731233,37.709846999999996
244,2,2,55.588732,37.275983499999995
125,2,2,55.728687,37.6260925
